"","sitename","start_gpp","end_gpp","year_start_gpp","year_end_gpp","nyears_gpp","drop_gpp","start_le","end_le","year_start_le","year_end_le","nyears_le","drop_le","start_lecorr","end_lecorr","year_start_lecorr","year_end_lecorr","nyears_lecorr","drop_lecorr"
"1","AR-SLu",2010-01-01,2010-12-31,2010,2010,1,FALSE,2010-01-01,2010-12-31,2010,2010,1,FALSE,2010-01-01,2010-12-31,2010,2010,1,FALSE
"2","AR-TF1",2016-01-31,2018-05-17,2017,2017,1,FALSE,2016-01-31,2018-05-17,2017,2017,1,FALSE,NA,NA,NA,NA,0,TRUE
"3","AT-Neu",2002-01-01,2012-12-30,2002,2012,11,FALSE,2002-01-01,2012-12-30,2002,2012,11,FALSE,2002-01-01,2012-12-30,2002,2012,11,FALSE
"4","AU-ASM",2011-10-15,2017-12-12,2012,2016,5,FALSE,2011-01-09,2017-12-12,2012,2016,5,FALSE,2011-01-09,2017-12-12,2012,2016,5,FALSE
"5","AU-Cow",2010-01-01,2015-12-19,2010,2014,5,FALSE,2010-01-01,2015-12-29,2010,2014,5,FALSE,2011-06-21,2015-12-29,2012,2014,3,FALSE
"6","AU-Cpr",2014-04-24,2017-12-30,2015,2016,2,FALSE,2014-04-23,2017-12-30,2015,2016,2,FALSE,2014-04-23,2017-12-30,2015,2016,2,FALSE
"7","AU-Ctr",2010-01-01,2013-12-22,2010,2012,3,FALSE,2010-01-01,2013-12-22,2010,2012,3,FALSE,2015-12-18,2017-11-30,2016,2016,1,FALSE
"8","AU-Cum",2013-01-01,2018-12-30,2013,2017,5,FALSE,2013-01-01,2018-12-30,2013,2017,5,FALSE,2013-11-02,2018-12-30,2014,2017,4,FALSE
"9","AU-DaP",2009-01-04,2011-12-14,2010,2010,1,FALSE,2009-01-01,2011-12-14,2009,2010,2,FALSE,2009-01-01,2011-12-14,2009,2010,2,FALSE
"10","AU-DaS",2011-04-09,2017-12-30,2012,2016,5,FALSE,2011-04-08,2017-12-30,2012,2016,5,FALSE,2012-12-18,2017-12-30,2013,2016,4,FALSE
"11","AU-Dry",2011-06-26,2015-12-22,2012,2014,3,FALSE,2011-02-03,2015-12-25,2012,2014,3,FALSE,2011-02-03,2015-12-25,2012,2014,3,FALSE
"12","AU-Emr",2012-01-01,2013-12-30,2012,2012,1,FALSE,2012-01-01,2013-12-30,2012,2012,1,FALSE,2012-01-01,2013-12-30,2012,2012,1,FALSE
"13","AU-GWW",2013-01-01,2017-12-30,2013,2016,4,FALSE,2013-01-01,2017-12-30,2013,2016,4,FALSE,2013-01-01,2017-12-30,2013,2016,4,FALSE
"14","AU-Gin",2012-01-01,2017-12-30,2012,2016,5,FALSE,2012-01-01,2017-12-30,2012,2016,5,FALSE,2012-01-01,2017-12-30,2012,2016,5,FALSE
"15","AU-How",2008-02-02,2017-12-30,2009,2016,8,FALSE,2008-02-02,2017-12-30,2009,2016,8,FALSE,2008-02-02,2017-12-30,2009,2016,8,FALSE
"16","AU-Lit",2016-01-01,2017-12-30,2016,2016,1,FALSE,2016-01-01,2017-12-30,2016,2016,1,FALSE,2016-01-01,2017-12-30,2016,2016,1,FALSE
"17","AU-Otw",2009-01-01,2010-12-30,2009,2009,1,FALSE,2009-01-01,2010-12-30,2009,2009,1,FALSE,2009-01-01,2010-12-30,2009,2009,1,FALSE
"18","AU-Rig",2013-08-27,2016-12-30,2014,2016,3,FALSE,2013-08-27,2016-12-30,2014,2016,3,FALSE,2013-09-12,2016-12-30,2014,2016,3,FALSE
"19","AU-Rob",2014-01-01,2017-12-30,2014,2016,3,FALSE,2014-01-01,2017-12-30,2014,2016,3,FALSE,2014-12-17,2017-12-30,2015,2016,2,FALSE
"20","AU-Sam",2013-07-12,2017-12-30,2014,2016,3,FALSE,2011-05-17,2017-12-30,2012,2016,5,FALSE,2011-05-17,2017-12-30,2012,2016,5,FALSE
"21","AU-Stp",2010-01-05,2017-11-01,2011,2016,6,FALSE,2010-01-01,2017-12-30,2010,2016,7,FALSE,2014-12-18,2016-01-14,2015,2015,1,FALSE
"22","AU-TTE",2015-01-13,2017-12-12,2016,2016,1,FALSE,2013-01-06,2017-12-12,2014,2016,3,FALSE,2013-01-06,2017-12-12,2014,2016,3,FALSE
"23","AU-Tum",2010-09-11,2017-12-30,2011,2016,6,FALSE,2010-09-11,2017-12-30,2011,2016,6,FALSE,2010-09-11,2017-12-30,2011,2016,6,FALSE
"24","AU-Whr",2015-01-01,2016-12-30,2015,2016,2,FALSE,2015-01-01,2016-12-30,2015,2016,2,FALSE,2015-08-13,2016-12-30,2016,2016,1,FALSE
"25","AU-Wrr",2016-01-01,2017-12-30,2016,2016,1,FALSE,2016-01-01,2017-12-30,2016,2016,1,FALSE,2016-01-01,2017-12-30,2016,2016,1,FALSE
"26","AU-Ync",2011-10-15,2017-12-12,2012,2016,5,FALSE,2011-01-09,2017-12-12,2012,2016,5,FALSE,2011-01-09,2017-12-12,2012,2016,5,FALSE
"27","BE-Bra",2009-01-04,2020-12-30,2010,2020,11,FALSE,2004-01-01,2020-12-30,2004,2020,17,FALSE,2004-01-01,2017-02-03,2004,2016,13,FALSE
"28","BE-Dor",2011-01-01,2020-12-30,2011,2020,10,FALSE,2015-01-06,2018-07-19,2016,2017,2,FALSE,NA,NA,NA,NA,0,TRUE
"29","BE-Lcr",2019-01-01,2020-12-30,2019,2020,2,FALSE,2019-01-01,2020-12-30,2019,2020,2,FALSE,NA,NA,NA,NA,0,TRUE
